Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Year,Outlet_Size,Outlet_Location_Type,OUTLET TYPE,SALES
FDR37,16.5,Regular,6.62%,Breakfast,$183.13,OUT035,2004,Small,Tier 2,Supermarket Type1,"$6,385.02"
NCS53,14.5,Low Fat,8.98%,Health and Hygiene,$159.46,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,376.91"
FDR22,19.35,Regular,1.86%,Snack Foods,$110.25,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,677.82"
NCP42,8.51,Low Fat,1.62%,Household,$192.15,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,937.48"
FDK38,6.65,Low Fat,8.92%,Canned,$147.07,OUT010,1998,null,Tier 3,Grocery Store,$296.95
NCC43,7.39,Low Fat,9.28%,Household,$252.61,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,259.06"
FDH57,10.895,Low Fat,3.58%,Fruits and Vegetables,$130.33,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$2,504.74"
FDQ25,8.63,Regular,2.83%,Canned,$170.54,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,069.31"
FDA11,7.75,Low Fat,4.32%,Baking Goods,$92.54,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,701.78"
FDG31,12.15,Low Fat,3.80%,Meat,$62.88,OUT049,1999,Medium,Tier 1,Supermarket Type1,$710.41
FDW28,18.25,Low Fat,8.92%,Frozen Foods,$194.35,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$4,502.14"
FDV14,19.85,Low Fat,4.46%,Dairy,$88.59,OUT049,1999,Medium,Tier 1,Supermarket Type1,$703.08
FDB60,9.3,Low Fat,2.86%,Baking Goods,$195.81,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,138.55"
FDU43,null,Regular,5.78%,Fruits and Vegetables,$237.36,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,145.21"
DRH11,5.98,LF,7.57%,Hard Drinks,$55.66,OUT045,2002,null,Tier 2,Supermarket Type1,$331.57
FDC48,null,Low Fat,2.78%,Baking Goods,$82.16,OUT019,1985,Small,Tier 1,Grocery Store,$412.80
DRK39,7.02,Low Fat,4.99%,Dairy,$82.93,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,165.15"
FDB20,7.72,Low Fat,5.21%,Fruits and Vegetables,$76.80,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,324.28"
FDE51,5.925,Regular,9.64%,Dairy,$45.61,OUT013,1987,High,Tier 3,Supermarket Type1,$356.87
FDX36,9.695,Regular,12.82%,Baking Goods,$224.84,OUT013,1987,High,Tier 3,Supermarket Type1,"$3,600.65"
NCT29,12.6,Low Fat,6.41%,Health and Hygiene,$122.34,OUT046,1997,Small,Tier 1,Supermarket Type1,$243.68
FDU45,15.6,Regular,3.56%,Snack Foods,$112.15,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,821.63"
FDF56,16.7,Regular,11.96%,Fruits and Vegetables,$181.00,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$4,165.24"
FDW07,18,Regular,23.88%,Fruits and Vegetables,$88.25,OUT010,1998,null,Tier 3,Grocery Store,$88.55
FDR52,null,Regular,7.57%,Frozen Foods,$190.48,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$8,789.89"
FDB45,20.85,LF,2.14%,Fruits and Vegetables,$104.63,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,149.84"
NCT42,null,Low Fat,2.48%,Household,$151.04,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$3,281.06"
FDP52,18.7,reg,7.07%,Frozen Foods,$230.20,OUT046,1997,Small,Tier 1,Supermarket Type1,"$5,742.53"
FDI50,null,Regular,3.07%,Canned,$228.04,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$10,306.58"
FDU48,18.85,Low Fat,5.57%,Baking Goods,$133.33,OUT017,2007,null,Tier 2,Supermarket Type1,$263.66
FDS43,11.65,Low Fat,4.05%,Fruits and Vegetables,$186.92,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,237.09"
NCM41,16.5,Low Fat,3.56%,Health and Hygiene,$93.11,OUT013,1987,High,Tier 3,Supermarket Type1,$932.12
FDP37,15.6,Low Fat,14.37%,Breakfast,$128.20,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,184.49"
FDJ44,12.3,Regular,10.65%,Fruits and Vegetables,$173.24,OUT045,2002,null,Tier 2,Supermarket Type1,"$3,139.91"
FDY38,null,Regular,20.87%,Dairy,$231.83,OUT019,1985,Small,Tier 1,Grocery Store,$466.06
FDC20,10.65,Low Fat,2.41%,Fruits and Vegetables,$56.63,OUT017,2007,null,Tier 2,Supermarket Type1,$447.42
FDF02,16.2,Low Fat,10.41%,Canned,$102.50,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,063.98"
FDX38,10.5,Regular,4.84%,Dairy,$48.24,OUT018,2009,Medium,Tier 3,Supermarket Type2,$527.31
FDN50,null,Regular,2.64%,Canned,$92.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,609.94"
FDA07,7.55,Regular,3.10%,Fruits and Vegetables,$123.41,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,082.62"
FDT49,null,Low Fat,15.07%,Canned,$104.73,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,450.14"
FDA09,13.35,Regular,14.96%,Snack Foods,$179.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,775.09"
FDV43,16,Low Fat,7.73%,Fruits and Vegetables,$44.51,OUT017,2007,null,Tier 2,Supermarket Type1,$713.74
FDK58,null,Regular,7.88%,Snack Foods,$103.00,OUT019,1985,Small,Tier 1,Grocery Store,$202.40
FDL22,16.85,Low Fat,3.64%,Snack Foods,$90.75,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,263.72"
FDP56,8.185,Low Fat,4.67%,Fruits and Vegetables,$49.97,OUT017,2007,null,Tier 2,Supermarket Type1,$837.58
DRL47,19.7,Low Fat,0.00%,Hard Drinks,$125.94,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,635.87"
NCT17,10.8,Low Fat,4.19%,Health and Hygiene,$189.72,OUT046,1997,Small,Tier 1,Supermarket Type1,"$5,841.06"
FDR12,12.6,Regular,3.17%,Baking Goods,$172.58,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,030.66"
FDD39,16.7,Low Fat,7.04%,Dairy,$216.89,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$6,275.17"
FDG04,13.1,Low Fat,0.61%,Frozen Foods,$185.09,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,870.90"
FDV19,14.85,Regular,3.55%,Fruits and Vegetables,$162.26,OUT017,2007,null,Tier 2,Supermarket Type1,"$3,690.53"
FDS55,null,Low Fat,14.21%,Fruits and Vegetables,$150.37,OUT019,1985,Small,Tier 1,Grocery Store,$296.95
FDM50,13,Regular,3.01%,Canned,$58.02,OUT013,1987,High,Tier 3,Supermarket Type1,$898.83
DRF13,12.1,Low Fat,2.98%,Soft Drinks,$146.94,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,596.59"
FDJ48,11.3,Low Fat,5.64%,Baking Goods,$245.41,OUT013,1987,High,Tier 3,Supermarket Type1,"$6,669.32"
FDM20,10,Low Fat,3.87%,Fruits and Vegetables,$245.41,OUT013,1987,High,Tier 3,Supermarket Type1,"$7,105.42"
FDP24,20.6,Low Fat,8.32%,Baking Goods,$121.08,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,696.46"
FDC16,11.5,Regular,2.06%,Dairy,$86.05,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,384.86"
NCB42,11.8,LF,0.86%,Health and Hygiene,$114.85,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,390.19"
FDN01,8.895,Low Fat,12.12%,Breakfast,$177.04,OUT010,1998,null,Tier 3,Grocery Store,$176.44
FDT34,9.3,Low Fat,17.47%,Snack Foods,$104.10,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,788.34"
FDA52,null,Regular,12.78%,Frozen Foods,$177.04,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,587.36"
NCC18,19.1,Low Fat,29.67%,Household,$171.84,OUT010,1998,null,Tier 3,Grocery Store,"$1,034.65"
NCR41,17.85,Low Fat,1.81%,Health and Hygiene,$94.91,OUT017,2007,null,Tier 2,Supermarket Type1,$761.68
FDX23,6.445,Low Fat,2.99%,Baking Goods,$94.14,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,418.15"
FDP39,12.65,Low Fat,11.62%,Meat,$53.53,OUT010,1998,null,Tier 3,Grocery Store,$415.46
NCH07,13.15,Low Fat,9.26%,Household,$157.86,OUT035,2004,Small,Tier 2,Supermarket Type1,"$3,803.05"
FDW47,null,Low Fat,8.12%,Breads,$121.74,OUT019,1985,Small,Tier 1,Grocery Store,$365.52
DRD13,15,Low Fat,4.91%,Soft Drinks,$61.92,OUT035,2004,Small,Tier 2,Supermarket Type1,$767.00
FDR48,11.65,Low Fat,13.14%,Baking Goods,$151.90,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,669.83"
FDE17,20.1,Regular,0.00%,Frozen Foods,$152.24,OUT010,1998,null,Tier 3,Grocery Store,$151.14
FDP60,17.35,Low Fat,0.00%,Baking Goods,$102.90,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,922.83"
FDD57,18.1,Low Fat,2.25%,Fruits and Vegetables,$95.01,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,713.77"
FDW13,8.5,low fat,16.38%,Canned,$51.33,OUT010,1998,null,Tier 3,Grocery Store,$311.59
FDN24,14.1,Low Fat,11.35%,Baking Goods,$56.20,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,364.89"
FDJ34,11.8,Regular,9.42%,Snack Foods,$126.27,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,002.73"
FDD46,6.035,low fat,14.11%,Snack Foods,$155.10,OUT013,1987,High,Tier 3,Supermarket Type1,"$3,691.20"
FDF46,null,Low Fat,16.40%,Snack Foods,$113.28,OUT019,1985,Small,Tier 1,Grocery Store,$575.92
NCE43,12.5,Low Fat,17.31%,Household,$168.44,OUT010,1998,null,Tier 3,Grocery Store,$170.44
FDN27,20.85,Low Fat,3.96%,Meat,$116.88,OUT035,2004,Small,Tier 2,Supermarket Type1,$820.27
FDW52,14,Regular,3.76%,Frozen Foods,$162.65,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$4,275.77"
DRH03,17.25,Low Fat,3.51%,Dairy,$92.41,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,304.97"
NCM29,11.5,Low Fat,1.77%,Health and Hygiene,$129.26,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,705.11"
FDR58,6.675,Low Fat,4.20%,Snack Foods,$93.25,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,480.74"
FDY50,5.8,Low Fat,13.10%,Dairy,$90.32,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,338.26"
FDE16,8.895,Low Fat,2.65%,Frozen Foods,$208.50,OUT017,2007,null,Tier 2,Supermarket Type1,"$6,251.86"
NCE31,7.67,Low Fat,18.51%,Household,$32.92,OUT049,1999,Medium,Tier 1,Supermarket Type1,$588.57
FDE53,10.895,Low Fat,2.69%,Frozen Foods,$106.13,OUT045,2002,null,Tier 2,Supermarket Type1,$319.58
DRK11,8.21,Low Fat,0.00%,Hard Drinks,$148.24,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,491.39"
DRH13,8.575,Low Fat,2.39%,Soft Drinks,$107.13,OUT013,1987,High,Tier 3,Supermarket Type1,$958.75
FDA11,7.75,Low Fat,4.34%,Baking Goods,$93.14,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,418.15"
DRL35,null,Low Fat,3.06%,Hard Drinks,$41.88,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,125.20"
DRF36,null,Low Fat,2.35%,Soft Drinks,$190.68,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$9,554.23"
FDI07,12.35,Regular,3.40%,Meat,$197.24,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,966.14"
FDI32,17.7,Low Fat,17.42%,Fruits and Vegetables,$117.18,OUT013,1987,High,Tier 3,Supermarket Type1,$691.10
DRL60,8.52,Low Fat,2.72%,Soft Drinks,$151.07,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,829.62"
NCY17,18.2,Low Fat,16.31%,Health and Hygiene,$43.31,OUT035,2004,Small,Tier 2,Supermarket Type1,$758.35
DRH36,null,Low Fat,5.84%,Soft Drinks,$73.07,OUT019,1985,Small,Tier 1,Grocery Store,$223.71
FDX02,16,Low Fat,5.70%,Dairy,$225.94,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,350.24"
FDG46,8.63,Regular,3.30%,Snack Foods,$115.05,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,366.22"
FDM60,10.8,Regular,0.00%,Baking Goods,$40.71,OUT017,2007,null,Tier 2,Supermarket Type1,$406.14
FDJ22,18.75,Low Fat,5.30%,Snack Foods,$192.55,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,109.25"
FDU59,5.78,Low Fat,9.63%,Breads,$161.96,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,111.92"
FDL38,13.8,Regular,1.48%,Canned,$90.72,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,338.26"
FDZ23,17.75,Regular,6.74%,Baking Goods,$184.72,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,677.82"
FDX52,11.5,Regular,4.22%,Frozen Foods,$194.68,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,316.98"
NCB42,11.8,LF,0.86%,Health and Hygiene,$117.65,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,158.49"
NCU18,15.1,Low Fat,5.62%,Household,$140.55,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,681.84"
FDI32,null,Low Fat,30.53%,Fruits and Vegetables,$116.68,OUT019,1985,Small,Tier 1,Grocery Store,$460.73
DRZ11,8.85,Regular,11.26%,Soft Drinks,$122.04,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,609.90"
NCL54,12.6,Low Fat,8.32%,Household,$174.51,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,626.58"
FDS19,13.8,Regular,6.42%,Fruits and Vegetables,$75.80,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,138.52"
DRB13,6.115,Regular,0.71%,Soft Drinks,$188.65,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,605.31"
DRI51,17.25,Low Fat,7.07%,Dairy,$170.38,OUT010,1998,null,Tier 3,Grocery Store,$343.55
FDS57,null,Low Fat,10.29%,Snack Foods,$142.05,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,719.79"
FDT39,6.26,Regular,0.99%,Meat,$150.74,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,418.19"
FDH48,13.5,Low Fat,10.12%,Baking Goods,$86.25,OUT010,1998,null,Tier 3,Grocery Store,$173.11
NCB18,19.6,Low Fat,6.91%,Household,$90.15,OUT010,1998,null,Tier 3,Grocery Store,$442.76
FDR25,null,Regular,13.88%,Canned,$263.79,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,324.94"
FDV21,11.5,Low Fat,17.11%,Snack Foods,$126.37,OUT035,2004,Small,Tier 2,Supermarket Type1,"$3,880.28"
DRH23,14.65,Low Fat,0.00%,Hard Drinks,$54.96,OUT049,1999,Medium,Tier 1,Supermarket Type1,$552.61
FDS52,8.89,Low Fat,0.55%,Frozen Foods,$102.80,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,012.02"
NCC31,8.02,LF,3.33%,Household,$154.30,OUT010,1998,null,Tier 3,Grocery Store,"$1,090.58"
FDU03,18.7,Regular,9.21%,Meat,$183.33,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,006.72"
FDG50,7.405,Low Fat,1.53%,Canned,$89.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,$547.29
FDY31,5.98,Low Fat,4.35%,Fruits and Vegetables,$148.44,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,354.27"
FDX39,null,Regular,4.94%,Meat,$209.76,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$5,487.52"
FDE46,null,Low Fat,2.76%,Snack Foods,$149.54,OUT019,1985,Small,Tier 1,Grocery Store,$604.55
NCN29,15.2,Low Fat,1.21%,Health and Hygiene,$48.70,OUT045,2002,null,Tier 2,Supermarket Type1,$680.45
DRF13,12.1,Low Fat,2.99%,Soft Drinks,$146.34,OUT017,2007,null,Tier 2,Supermarket Type1,"$3,773.75"
FDT46,null,Low Fat,5.39%,Snack Foods,$52.10,OUT019,1985,Small,Tier 1,Grocery Store,$50.60
FDS58,9.285,Regular,0.00%,Snack Foods,$161.56,OUT046,1997,Small,Tier 1,Supermarket Type1,"$4,653.28"
FDX52,null,Regular,7.35%,Frozen Foods,$192.28,OUT019,1985,Small,Tier 1,Grocery Store,$386.16
FDP27,8.155,Low Fat,19.99%,Meat,$188.45,OUT010,1998,null,Tier 3,Grocery Store,$379.51
FDX44,9.3,Low Fat,4.30%,Fruits and Vegetables,$89.42,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,159.82"
DRO35,13.85,Low Fat,3.46%,Hard Drinks,$117.45,OUT046,1997,Small,Tier 1,Supermarket Type1,"$3,243.78"
FDC59,16.7,Regular,5.47%,Starchy Foods,$65.72,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,086.59"
FDB12,11.15,Regular,10.55%,Baking Goods,$105.86,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,973.43"
FDU26,16.7,Regular,4.26%,Dairy,$117.28,OUT035,2004,Small,Tier 2,Supermarket Type1,$715.07
NCF30,17,Low Fat,12.68%,Household,$124.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,132.53"
FDX20,7.365,Low Fat,4.25%,Fruits and Vegetables,$228.37,OUT013,1987,High,Tier 3,Supermarket Type1,"$4,527.44"
FDN02,16.5,Low Fat,7.38%,Canned,$207.26,OUT035,2004,Small,Tier 2,Supermarket Type1,"$5,383.66"
DRC27,13.8,Low Fat,9.73%,Dairy,$245.78,OUT010,1998,null,Tier 3,Grocery Store,$245.68
FDZ38,null,Low Fat,1.40%,Dairy,$171.34,OUT019,1985,Small,Tier 1,Grocery Store,$862.21
DRH25,18.7,Low Fat,2.44%,Soft Drinks,$52.93,OUT010,1998,null,Tier 3,Grocery Store,$51.93
FDK21,7.905,Low Fat,1.00%,Snack Foods,$250.44,OUT046,1997,Small,Tier 1,Supermarket Type1,"$3,004.09"
FDT01,13.65,Regular,18.45%,Canned,$211.49,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$4,035.41"
FDZ09,17.6,Low Fat,10.50%,Snack Foods,$163.89,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,111.95"
DRL37,15.5,Low Fat,5.36%,Soft Drinks,$44.18,OUT018,2009,Medium,Tier 3,Supermarket Type2,$173.11
FDN49,17.25,Regular,12.57%,Breakfast,$41.75,OUT018,2009,Medium,Tier 3,Supermarket Type2,$199.74
FDC22,6.89,Regular,13.67%,Snack Foods,$194.88,OUT045,2002,null,Tier 2,Supermarket Type1,"$4,440.89"
FDT33,7.81,Regular,3.41%,Snack Foods,$165.12,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,838.27"
NCB43,20.2,Low Fat,10.03%,Household,$188.69,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$3,367.62"
DRI25,null,Low Fat,3.37%,Soft Drinks,$56.66,OUT027,1985,Medium,Tier 3,Supermarket Type3,$607.88
FDD21,10.3,Regular,3.06%,Fruits and Vegetables,$113.12,OUT046,1997,Small,Tier 1,Supermarket Type1,"$4,695.22"
FDS23,4.635,Low Fat,14.09%,Breads,$126.50,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,670.49"
FDS13,6.465,Low Fat,20.84%,Canned,$265.29,OUT010,1998,null,Tier 3,Grocery Store,$264.99
DRI03,null,Low Fat,3.98%,Dairy,$176.90,OUT019,1985,Small,Tier 1,Grocery Store,$708.41
FDU58,6.61,Regular,0.00%,Snack Foods,$186.49,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,993.44"
FDL09,null,Regular,12.74%,Snack Foods,$167.48,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,006.69"
FDS12,9.1,Low Fat,29.14%,Baking Goods,$126.84,OUT010,1998,null,Tier 3,Grocery Store,$125.84
FDP03,5.15,Regular,6.11%,Meat,$122.54,OUT013,1987,High,Tier 3,Supermarket Type1,$371.52
FDI21,null,Regular,5.63%,Snack Foods,$63.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,597.92"
FDW45,18,Low Fat,3.90%,Snack Foods,$147.74,OUT046,1997,Small,Tier 1,Supermarket Type1,"$4,119.97"
NCA18,10.1,Low Fat,9.39%,Household,$115.95,OUT010,1998,null,Tier 3,Grocery Store,$231.70
FDN32,null,Low Fat,1.55%,Fruits and Vegetables,$185.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,979.52"
FDR15,null,Regular,3.33%,Meat,$153.83,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$3,723.15"
DRK11,8.21,Low Fat,1.08%,Hard Drinks,$149.94,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,938.81"
DRG49,7.81,Low Fat,6.77%,Soft Drinks,$242.65,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,199.14"
FDD29,12.15,Low Fat,1.84%,Frozen Foods,$252.17,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,283.03"
FDE33,19.35,Regular,8.31%,Fruits and Vegetables,$80.36,OUT010,1998,null,Tier 3,Grocery Store,$157.13
FDJ58,15.6,Regular,17.62%,Snack Foods,$173.68,OUT010,1998,null,Tier 3,Grocery Store,$515.33
FDM46,7.365,Low Fat,16.02%,Snack Foods,$93.51,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,677.82"
FDD23,9.5,Regular,4.87%,Starchy Foods,$187.79,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,057.99"
DRM35,null,Low Fat,7.01%,Hard Drinks,$179.43,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$5,888.34"
DRC25,5.73,Low Fat,4.56%,Soft Drinks,$85.39,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,288.32"
FDL36,15.1,Low Fat,7.62%,Baking Goods,$89.78,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$2,247.08"
FDD41,6.765,Regular,8.72%,Frozen Foods,$105.53,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,567.96"
FDV19,14.85,Regular,3.53%,Fruits and Vegetables,$160.96,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$4,813.73"
FDR44,6.11,Regular,10.31%,Fruits and Vegetables,$131.30,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,957.45"
FDX50,20.1,Low Fat,7.50%,Dairy,$110.42,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,105.23"
DRC25,5.73,Low Fat,4.55%,Soft Drinks,$85.29,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,061.32"
FDA15,null,Low Fat,1.59%,Dairy,$249.51,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$6,474.24"
FDX22,6.785,Regular,2.30%,Snack Foods,$208.79,OUT046,1997,Small,Tier 1,Supermarket Type1,"$5,891.00"
FDJ50,8.645,Low Fat,2.16%,Canned,$52.00,OUT045,2002,null,Tier 2,Supermarket Type1,$999.37
FDT13,null,Low Fat,3.25%,Canned,$188.82,OUT019,1985,Small,Tier 1,Grocery Store,$753.69
FDN12,15.6,Low Fat,8.10%,Baking Goods,$112.35,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,572.65"
FDD58,7.76,LF,5.95%,Snack Foods,$98.77,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,298.31"
FDM04,9.195,Regular,4.71%,Frozen Foods,$51.17,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,179.13"
FDA23,9.8,Low Fat,4.73%,Baking Goods,$102.80,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,922.83"
FDW28,18.25,LF,14.87%,Frozen Foods,$197.25,OUT010,1998,null,Tier 3,Grocery Store,$195.75
FDA45,21.25,Low Fat,15.60%,Snack Foods,$177.34,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,822.99"
NCO26,7.235,Low Fat,7.70%,Household,$117.35,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,506.04"
FDV26,20.25,Regular,7.61%,Dairy,$197.08,OUT035,2004,Small,Tier 2,Supermarket Type1,"$4,681.91"
FDC50,null,Low Fat,13.58%,Canned,$93.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$3,237.12"
NCV05,null,Low Fat,3.01%,Health and Hygiene,$154.37,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,471.45"
FDW48,18,Low Fat,0.86%,Baking Goods,$80.26,OUT018,2009,Medium,Tier 3,Supermarket Type2,$644.49
FDS55,7.02,Low Fat,8.11%,Fruits and Vegetables,$148.47,OUT013,1987,High,Tier 3,Supermarket Type1,"$3,563.36"
FDX32,15.1,Regular,10.01%,Fruits and Vegetables,$144.08,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,600.61"
FDC53,8.68,Low Fat,0.88%,Frozen Foods,$100.04,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,266.38"
FDG35,21.2,Regular,0.71%,Starchy Foods,$175.77,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,911.51"
NCC30,16.6,Low Fat,4.62%,Household,$176.63,OUT010,1998,null,Tier 3,Grocery Store,$356.87
NCZ17,12.15,Low Fat,7.96%,Health and Hygiene,$37.35,OUT045,2002,null,Tier 2,Supermarket Type1,$645.16
FDZ56,16.25,Low Fat,2.58%,Fruits and Vegetables,$169.95,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$2,863.61"
NCS05,11.5,Low Fat,2.10%,Health and Hygiene,$133.29,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,649.88"
DRC25,null,Low Fat,0.00%,Soft Drinks,$87.39,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,374.21"
FDW59,13.15,Low Fat,2.07%,Breads,$83.56,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,268.35"
FDB36,5.465,Regular,4.88%,Baking Goods,$132.16,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,573.95"
FDT37,14.15,Low Fat,0.00%,Canned,$253.70,OUT045,2002,null,Tier 2,Supermarket Type1,"$5,865.03"
FDG47,12.8,Low Fat,6.96%,Starchy Foods,$261.93,OUT035,2004,Small,Tier 2,Supermarket Type1,"$4,984.18"
FDM45,8.655,Regular,8.84%,Snack Foods,$119.38,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,454.11"
FDQ40,null,Regular,3.59%,Frozen Foods,$176.87,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$3,691.20"
FDF34,9.3,Regular,1.40%,Snack Foods,$199.11,OUT049,1999,Medium,Tier 1,Supermarket Type1,$396.82
FDP24,20.6,Low Fat,8.35%,Baking Goods,$120.88,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,211.76"
FDT55,null,Regular,7.64%,Fruits and Vegetables,$155.89,OUT019,1985,Small,Tier 1,Grocery Store,$473.38
